Date,Time,FileName,Type,Link,Source,Tag
Sep 11 2019,00:07,0911_1,Direct,https://www.bbc.com/zhongwen/trad/chinese-news-49327590,News,Protester
Sep 11 2019,00:10,0911_2,Direct,https://news.mingpao.com/pns/%E8%A7%80%E9%BB%9E/article/20190830/s00012/1567102722906/%E6%9B%BE%E5%BF%97%E8%B1%AA-%E7%82%BA%E4%BB%80%E9%BA%BC%E6%9E%97%E9%84%AD%E4%B8%80%E5%AE%9A%E8%A6%81%E6%AE%BA%E6%AD%BB%E9%A6%99%E6%B8%AF,News,Carrie Lam
Sep 11 2019,00:11,0911_3,Direct,https://www.worldjournal.com/6484530/article-%E3%80%8C%E6%B2%92%E6%9C%89%E6%9C%AA%E4%BE%86%EF%BC%8C%E4%BD%95%E5%BF%85%E4%B8%8A%E8%AA%B2%E3%80%8D%E6%B8%AF%E4%B8%AD%E5%AD%B8%E7%94%9F%E7%BD%B7%E8%AA%B2-%E9%98%B2%E6%9A%B4%E8%AD%A6%E6%A0%A1%E9%96%80/,News,Student
Sep 11 2019,00:17,0911_4,Direct,https://www.youtube.com/watch?v=yVWvKYL5g-s,Youtube,Opinion
Sep 11 2019,00:17,0911_5,Direct,https://www.twreporter.org/a/hong-kong-china-extradition-law-902-student-strike-young-generation,News,Student
Sep 11 2019,00:21,0911_6,Direct,https://www.hk01.com/%E7%A4%BE%E6%9C%83%E6%96%B0%E8%81%9E/339740/%E9%80%83%E7%8A%AF%E6%A2%9D%E4%BE%8B-%E8%80%83%E8%A9%A6%E6%9C%9F%E9%96%93%E7%BD%B7%E8%AA%B2-%E4%B8%AD%E5%AD%B8%E7%94%9F%E9%9B%86%E6%9C%83%E5%8F%8D%E4%BF%AE%E4%BE%8B-%E6%8A%97%E7%88%AD%E5%BA%95%E7%B7%9A%E4%B8%8D%E6%96%B7%E9%99%8D,News,Student
Sep 11 2019,00:22,0911_7,Direct,https://www.inmediahk.net/node/1066690,News,Student
Sep 11 2019,00:25,0911_8,Direct,https://www.inmediahk.net/node/1066646,News,Opinion
Sep 11 2019,00:37,0911_9,Direct,https://thestandnews.com/politics/%E8%B5%A4%E5%AD%90%E4%B9%8B%E5%BF%83-%E6%8A%B5%E6%8A%97%E6%9A%B4%E6%94%BF/,News,
Sep 11 2019,00:52,0911_10,Direct,https://www.scmp.com/news/hong-kong/politics/article/3022382/hong-kong-protesters-increasingly-sympathise-radical-action,News,
Sep 11 2019,00:52,0911_11,Direct,https://www.scmp.com/news/hong-kong/politics/article/3022345/young-educated-and-middle-class-first-field-study-hong-kong,News,
Sep 11 2019,01:04,0911_12,Direct,https://www.thenation.com/article/hong-kong-protests-china-police-brutality-democracy/,News,
Sep 11 2019,12:56,0911_13,Social Media,,Instagram,Five Demands
Sep 11 2019,12:56,0911_14,Social Media,,,Police
Sep 11 2019,12:56,0911_15,Social Media,,,Anthem
Sep 11 2019,13:18,0911_16,Social Media,,,Anthem
Sep 11 2019,14:48,0911_17,Direct,,,Police
Sep 11 2019,14:49,0911_18,Direct,,,Police
Sep 11 2019,15:38,0911_19,Direct,,,Police
Sep 11 2019,15:54,0911_20,Direct,,,Gov
Sep 11 2019,19:02,0911_21,Social Media,,,
Sep 11 2019,21:56,0911_22,Direct,https://www.scmp.com/week-asia/politics/article/3018433/extradition-protests-what-hong-kongs-history-riots-can-teach,News,History
